,B1_6-7,B5_6-7,L_6-7,loc_B1_6-7,loc_B5_6-7,B1_7-6,B5_7-6,L_7-6,loc_B1_7-6,loc_B5_7-6,aniso,iso
LS1621_optimized,1.7,3.3,6.38,1.7,3.88,1.98,4.74,7.5,5.36,4.9,148.07600000000002,869.3499999999999
LS1622_optimized,2.15,3.3,7.77,7.6,3.89,1.98,4.74,7.5,5.36,4.92,161.73000000000002,981.011
LS1624_optimized,1.82,7.28,8.02,5.9,5.56,1.98,4.74,7.5,5.36,4.91,218.379,132.569
LS1630_optimized,1.78,5.43,6.38,5.13,4.5,1.97,4.74,7.5,5.36,4.91,165.377,924.8499999999999
LS1641_optimized,1.99,4.54,7.33,7.13,5.91,1.98,4.75,7.5,5.36,4.89,179.004,101.127
LS1642_optimized,2.36,8.38,7.73,5.26,5.15,1.95,4.76,7.49,5.36,4.89,252.745,121.28999999999999
LS1643_optimized,1.81,8.94,8.72,5.9,7.06,1.98,4.74,7.5,5.36,4.9,239.872,156.278
LS1661_optimized,1.78,4.39,6.37,5.26,3.72,1.98,4.74,7.5,5.36,4.9,160.834,873.7040000000001
LS1663_optimized,2.15,5.16,6.86,5.43,5.3,1.97,4.74,7.5,5.36,4.91,184.705,903.5260000000001
LS1664_optimized,2.39,7.23,7.85,5.26,5.6,1.96,4.75,7.49,5.36,4.89,247.672,802.4879999999999
LS1685_optimized,2.11,3.28,7.77,5.26,3.92,2.15,9.44,7.34,5.32,0.23,247.53,977.918
LS1687_optimized,1.74,4.61,7.31,7.14,5.88,2.14,8.42,7.46,5.9,1.31,248.96099999999998,946.0269999999999
LS1688_optimized,1.76,4.61,7.31,7.13,5.88,2.14,9.45,7.36,5.32,0.25,251.41200000000003,884.832
LS1689_optimized,1.7,4.55,7.34,3.18,5.91,2.1,8.42,7.45,5.34,2.1,259.255,987.7099999999999
LS1690_optimized,2.39,7.23,7.85,5.26,5.6,1.96,4.75,7.49,5.36,4.89,247.672,802.4879999999999
LS1696_optimized,1.7,3.27,6.39,3.18,3.92,2.14,9.1,7.36,5.32,-0.56,233.863,953.209
LS1714_target,1.78,5.43,6.38,5.13,4.5,1.98,3.55,6.49,5.36,4.35,130.86,836.665
LS1715_optimized,1.78,5.43,6.38,5.13,4.51,1.97,7.35,8.74,5.36,5.9,195.413,142.102
LS1716_optimized,1.81,4.57,7.32,7.13,5.9,1.99,4.64,7.67,5.36,5.11,156.102,106.491
LS1717_optimized,1.82,4.57,7.33,7.12,5.9,2.01,6.0,8.81,5.35,4.51,184.239,129.177
