,Buried Volume,V_bur%
LS1621_optimized.xyz,0.6670995620573984,66.7
LS1622_optimized.xyz,0.6670820909429743,66.7
LS1624_optimized.xyz,0.6671286805814387,66.7
LS1630_optimized.xyz,0.666936498322773,66.7
LS1641_optimized.xyz,0.6673441576593365,66.7
LS1642_optimized.xyz,0.6671112094670145,66.7
LS1643_optimized.xyz,0.6670820909429743,66.7
LS1661_optimized.xyz,0.6671170331718226,66.7
LS1663_optimized.xyz,0.6670413250093179,66.7
LS1664_optimized.xyz,0.6671752702199031,66.7
LS1685_optimized.xyz,0.38189526649273203,38.2
LS1687_optimized.xyz,0.6647351379053299,66.5
LS1688_optimized.xyz,0.6687593179276928,66.9
LS1689_optimized.xyz,0.38063152254938504,38.1
LS1690_optimized.xyz,0.6671752702199031,66.7
LS1696_optimized.xyz,0.3819243850167723,38.2
LS1714_target.xyz,0.2887975214312337,28.9
LS1715_optimized.xyz,0.5258106597092806,52.6
LS1716_optimized.xyz,0.5577478568766306,55.8
LS1717_optimized.xyz,0.6421624580693254,64.2
