,cross,cross_angle,para,para_angle,Frequency_Bending_7-5,Cross_mag_Bending_7-5,Frequency_Bending_4-5,Cross_mag_Bending_4-5,atom_8_charge,output
LS1621_optimized,0.01139449,0.968102858,0.517323683,0.745425921,0.935508374,0.728119309,0.92504012,0.563861187,0.501113035,0.04739536
LS1622_optimized,0.458238188,0.942139906,0.408473133,0.257626095,0,0.604465201,0.977376981,0.138670937,1,0.26486515
LS1624_optimized,0.461727993,0.900139038,0.502469006,0.364652688,0.994114944,0,0.906409581,1,0.553302003,1.027102211
LS1630_optimized,0.002002261,0.026674779,0.503204258,0.116691273,0.000348595,0.006262352,0.928239731,0.042581292,0.349492951,0
LS1641_optimized,0.078141223,0.505583191,0.004492796,0.320182645,0.938497242,0.066290878,0.088571826,0.057058392,0,1.881807985
LS1642_optimized,0.580731603,0.980784539,0.509544421,0.457481251,0.962029097,0.151909388,0.059341799,0.544335389,0.543779372,1.881807985
LS1643_optimized,0.608446639,0,0.505794266,0.094406666,0.133693494,0.192342965,0.173823663,0.129622349,0.238189463,2.304447597
LS1661_optimized,0.017167792,0.956850826,0.491207457,0.162210736,0.956384057,0.21029993,0.098964736,0.486663506,0.277022013,2.304447597
LS1663_optimized,0.03405081,0.560045822,0.509093663,0.305074324,0.165671545,1,1,0.129339276,0.250680188,1.743478581
LS1664_optimized,0.364574139,1,0.515976952,0,0.898355898,0.216223444,0.203312712,0.234187828,0.622062825,1.125606917
LS1688_optimized,1,0.677003513,0.366002169,1,1,0.18780852,0.094850147,0.053180761,0.275661637,1.369963165
LS1690_optimized,0.364574139,1,0.515976952,0,0.898355898,0.216223444,0.203312712,0.234187828,0.622062825,1.629255324
LS1714_target,0,0.911736622,0.549903845,0.240124368,0.990094675,0.536437923,0.918715128,0.004508568,0.190699975,0
LS1715_optimized,0.459368439,0.880199612,0,0.631453135,0.917845465,0.100591814,0.950798336,0,0.167697255,0.071140559
LS1716_optimized,0.135976836,0.508022563,0.027704961,0.375084806,0.025334455,0.093912982,0,0.081405608,0.322285432,0.04739536
LS1717_optimized,0.492573771,0.413972858,1,0.779175947,0.013617796,0.293536882,0.157466104,0.064528288,0.327850606,0
