"X12","X13"
30.5613,0.9989
37.0573,0.7078
43.6919,0.1959
76.1842,0.0617
136.6281,0.4578
147.5982,0.7989
163.6513,0.65
196.5364,0.1328
251.741,0.858
267.0238,0.2615
319.9684,89.8354
321.5482,82.4772
325.086,17.5631
334.1253,12.4273
363.385,0.9466
411.85,9.371
423.5139,0.1468
424.8944,0.514
429.9072,5.9671
464.2207,3.1503
512.0809,3.743
543.772,20.1989
563.0247,31.283
598.1014,14.9834
654.2886,0.3066
656.9169,0.7417
716.575,0.9655
746.7211,0.3111
764.9339,5.5013
815.3237,20.0549
831.4996,11.9258
838.1308,5.1883
839.4218,5.0828
859.5246,29.2377
863.99,48.75
880.5675,10.3844
889.6903,6.2029
944.423,0.798
966.3966,0.2909
973.6524,0.4875
983.983,0.2326
985.1178,0.2655
1036.7727,2.1459
1038.5523,2.6236
1060.3303,1.321
1102.788,0.0891
1112.6146,8.8703
1131.1375,9.3368
1145.1864,18.268
1192.9713,116.8805
1195.3497,170.7534
1197.5052,33.024
1202.0236,26.4766
1227.7942,8.5394
1231.2056,4.9693
1272.0355,7.3634
1296.8863,0.6614
1310.6684,144.7538
1312.8054,111.7236
1319.676,15.63
1342.1566,10.1808
1355.913,7.9321
1361.3416,24.724
1367.8941,18.4962
1385.8116,2.3462
1413.4173,3.7919
1480.9526,24.8271
1485.7285,20.9682
1492.9047,4.3319
1499.996,5.1241
1507.1795,6.0594
1564.809,189.4769
1568.9021,74.9099
1666.9931,20.733
1669.8454,1.6578
1690.194,55.8289
1693.3205,38.2815
3039.7972,6.9185
3054.7518,16.7479
3061.8398,29.4171
3095.1939,14.5232
3130.9946,26.2698
3143.1416,26.0965
3182.9291,12.8268
3183.862,13.3393
3191.5727,6.1755
3198.9932,7.2014
3199.9792,4.8612
3216.5309,4.1605
3228.0654,2.9334
3231.3918,3.1878
3874.0637,85.1725
3874.8062,80.2675
