"X44","X45","X46"
0.03,0.05,-0.08
-0.05,-0.03,-0.07
-0.19,-0.18,0.04
-0.05,-0.15,0.16
-0.08,0.08,-0.15
0.1,0.12,0
-0.07,-0.08,0.05
-0.05,0.11,0.17
-0.01,0.01,0.01
-0.03,-0.05,0.05
0,-0.01,0.01
0.09,-0.08,0.05
0.06,0.07,-0.05
0.05,0.14,0.08
0.09,0.06,0.17
-0.02,-0.02,-0.05
-0.03,-0.03,-0.06
-0.03,-0.06,0.03
0.15,-0.08,-0.05
-0.07,0.05,0
0.01,-0.03,0.02
0.09,-0.06,-0.02
0.01,0.07,0.08
0.01,-0.01,-0.01
-0.1,0.05,0
0.01,0.01,-0.02
0.07,-0.03,-0.01
0.1,-0.07,-0.01
0.01,0,-0.01
0,-0.01,0
0.15,-0.1,-0.03
-0.02,-0.01,0.02
-0.01,0,0.01
0.08,-0.06,-0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.01,0.01,0
0.01,-0.01,0
0.01,0,0
0,0,0
0,0,0
0,0,0
-0.08,0,-0.04
0,0,0
0.01,-0.01,0
0,0,0
-0.03,0,-0.01
0.01,0,0
-0.02,0,-0.01
-0.02,0.02,0.01
-0.16,0.11,0.03
0.02,-0.01,0
0.01,0,0.01
-0.02,-0.01,-0.02
-0.02,-0.01,-0.02
0.01,0,0.01
0,0,0
0.02,0.01,0.02
0.04,0.01,0.03
0,0,0
0,0,0
-0.03,0.03,0.01
0.02,-0.02,-0.01
-0.03,-0.01,-0.03
0.03,0.01,0.02
0.01,-0.02,-0.01
0,0.01,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.01,-0.01
0,-0.04,-0.05
